 Studio 107.5        mms://live.alleredge.com/AE_StudioSE_Mid
    107.1 Vinyl            mms://live.alleredge.com/AE_Vinyl_Mid
    The Voice            mms://live.alleredge.com/AE_TheVoiceSE_Mid
    Rockklassiker        mms://live.alleredge.com/AE_Rockklassiker_Mid
    Mix MegaPol            mms://live.alleredge.com/AE_MixMegapol_Mid
    NRJ                mms://mtg-wms.bahnhof.net/nrj/?MSWMExt=.asf
    Rix FM            mms://mtg-wms.bahnhof.net/rixfm?MSWMExt=.asf
    Lugna favoriter        mms://mtg-wms.bahnhof.net/lugnafavoriter/?MSWMExt=.asf
    Bandit Sthlm        mms://mtg-wms.bahnhof.net/banditsthlm/?MSWMExt=.asf
    Bandit Gbg            mms://mtg-wms.bahnhof.net/kanallokal/?MSWMExt=.asf
    P1                      mms://wm-live.sr.se/SR-P1-High
    P2                      mms://wm-live.sr.se/SR-P2-High
    P2 Alltid Musik         mms://wm-live.sr.se/SR-P2Alltidmusik-High
    Din gata                mms://wm-live.sr.se/SR-DinGata-High
    P3                      mms://wm-live.sr.se/SR-P3-High
    P3 Rockster             mms://wm-live.sr.se/SR-P3Rockster-High
    P3 Star                 mms://wm-live.sr.se/SR-P3Star-High
    P3 Street               mms://wm-live.sr.se/SR-P3Street-High
    P3 Svea                 mms://wm-live.sr.se/SR-P3Svea-High
    SR Metropol             mms://wm-live.sr.se/SR-Metropol-High
    P4 med Radiosporten     mms://wm-live.sr.se/SR-Radiosporten-High
    SR Bubbel               mms://wm-live.sr.se/SR-srbubbel-High
    SR c                    mms://wm-live.sr.se/SR-SRc-High
    SR Klassiskt            mms://wm-live.sr.se/SR-SRKlassiskt-High
    SR Minnen               mms://wm-live.sr.se/SR-SRMinnen-High
    Sisuradio               mms://wm-live.sr.se/SR-Sisuradio-High
    SR Sapmi                mms://wm-live.sr.se/sr-sapmi-high
    SR Atlas                mms://wm-live.sr.se/SR-SRAtlas-High
    SR Världen              mms://wm-live.sr.se/SR-SRVarlden-High
    SR Blekinge             mms://wm-live.sr.se/SR-Blekinge-High
    SR Dalarna              mms://wm-live.sr.se/SR-Dalarna-High
    SR Gävleborg            mms://wm-live.sr.se/SR-Gavleborg-High
    SR Göteborg             mms://wm-live.sr.se/SR-Goteborg-High
    SR Gotland              mms://wm-live.sr.se/SR-Gotland-High
    SR Halland              mms://wm-live.sr.se/SR-Halland-High
    SR Jönköping            mms://wm-live.sr.se/SR-Jonkoping-High
    SR Jämtland             mms://wm-live.sr.se/SR-Jamtland-High
    SR Kalmar               mms://wm-live.sr.se/SR-Kalmar-High
    SR Kristianstad         mms://wm-live.sr.se/SR-Kristianstad-High
    SR Kronoberg            mms://wm-live.sr.se/SR-Kronoberg-High
    SR Malmö                mms://wm-live.sr.se/SR-Malmo-High
    SR Norrbotten           mms://wm-live.sr.se/SR-Norrbotten-High
    SR Örebro               mms://wm-live.sr.se/SR-Orebro-High
    SR Östergötland         mms://wm-live.sr.se/SR-Ostergotland-High
    SR Sjuhärad             mms://wm-live.sr.se/SR-Sjuharad-High
    SR Skaraborg            mms://wm-live.sr.se/SR-Skaraborg-High
    SR Sörmland             mms://wm-live.sr.se/SR-Sormland-High
    SR Stockholm            mms://wm-live.sr.se/SR-Stockholm-High
    SR Uppland              mms://wm-live.sr.se/SR-Uppland-High
    SR Väst                 mms://wm-live.sr.se/SR-Vast-High
    SR Västerbotten         mms://wm-live.sr.se/SR-Vasterbotten-High
    SR Västernorrland       mms://wm-live.sr.se/SR-Vasternorrland-High
    SR Värmland             mms://wm-live.sr.se/SR-Varmland-High
    SR Västmanland          mms://wm-live.sr.se/SR-Vastmanland-High


SBS Radio Ägda:
===============
* Mix Megapol		mms://streaming.sbsradio.se/03872_MixMegapol_mid?MSWMExt=.asf
* Mix Megapol Borås	mms://streaming.sbsradio.se/03872_MixBoras_mid?MSWMExt=.asf
* Mix Megapol GBG	mms://streaming.sbsradio.se/03872_MixGbg_mid?MSWMExt=.asf
* Mix Megapol MLM	mms://streaming.sbsradio.se/03872_MixMmo_mid?MSWMExt=.asf
* Radio 107.5		mms://streaming.sbsradio.se/03872_Studio_mid?MSWMExt=.asf
* Rockklassiker		mms://streaming.sbsradio.se/03872_Rockklassiker_mid?MSWMExt=.asf
* The Voice		mms://streaming.sbsradio.se/03872_TheVoice_mid?MSWMExt=.asf
* Vinyl 107		mms://streaming.sbsradio.se/03872_Vinyl_mid?MSWMExt=.asf


MTG Radio Ägda:
===============
* Bandit Gbg		mms://mtg-wms.bahnhof.net/kanallokal/?MSWMExt=.asf
* Bandit Sthlm		mms://mtg-wms.bahnhof.net/banditsthlm/?MSWMExt=.asf
* Lugna favoriter	mms://mtg-wms.bahnhof.net/lugnafavoriter/?MSWMExt=.asf
* NRJ			mms://mtg-wms.bahnhof.net/nrj/?MSWMExt=.asf
* Rix FM		mms://mtg-wms.bahnhof.net/rixfm?MSWMExt=.asf
* Star FM		mms://mtg-wms.bahnhof.net/starfm?MSWMExt=.asf


Närradio:
=========
* Cityradion Dalarna/Åre/Värmland	http://90.230.106.65:3335
* Cityradion Gävle			http://83.227.155.6:1188
* FM Österlen				http://www.fmosterlen.se/livepls.m3u
* Folkradion 96,4 (Skutskär)		Internetradio tillfälligt nere (http://www.folkradio.se/)
* Gamla Godingar (Öresund)		http://83.233.23.193/listen.pls
* Gold 102,4 (Växjö)			http://gold24.xnk.nu:8080/listen.pls
* Göteborgs Närradio 94,9		mms://media5.connection.se/radio3
* Göteborgs Närradio 102,6		mms://media5.connection.se/radio7
* Göteborgs Närradio 103,1		mms://media5.connection.se/radio5
* Helsingborgs Närradio 		http://hnf.myip.org:85/broadwave.mp3?src=1&kbps=56&ref=
* HitMix (Vellinge)			http://www.hitmix.se/webbradio/hitmix.pls
* Höganäs Närradio			http://83.227.228.20:8000/listen.pls	
* Kanon FM (Kalmar)			http://tty0.changeip.org:8000/listen.m3u
* Karlstad Nya Radio 92,2		mms://213.180.74.122:5631/knr92
* Kiss FM (Kristianstad)		http://radio.kiss916.se:8000/listen.pls	
* KissRock (Knislinge)			http://radio.kissrock.se:9000/listen.pls
* Lite FM (Trollhättan/Vänersborg)	http://www.litefm.se/live.m3u
* Malmökanalen 89,2			mms://stream.malmokanalen.se/mnr?MSWMExt=.asf
* MRS [Stockholm]			http://www.mrs.se/stream19050.m3u
* Radio 88 Golden Hits (Partille)	Internetradio tillfälligt nere (http://www.radio88.nu)
* Radio Active 103,9 (Ystad)		http://www.radioactive.se/livepls.m3u
* Radio Bohuslän 88,7 (Uddevala)	http://887.radiobohuslan.se:8080/
* Radio Bohuslän 100,5 (Stenungsund)	http://1005.radiobohuslan.se:8080/
* Radio Bohuslän 107,5 (Lysekil)	http://1075.radiobohuslan.se:8080/
* Radio Bohuslän Dance (Tjörn)		http://883.radiobohuslan.se:8080/
* Radio Båstad				http://www.radiobastad.nu:8030/ (även 8020 & 8010)
* Radio Eskilstuna			mms://streamer2.xmc.se/radioeskilstuna?MSWMExt=.asf
* Radio Falköping			mms://83.223.14.91/fnf-live
* Radio Iran On Air (sthlm, Persiska)	http://www.iranonair.com/live.pls
* Radio Kinnekulle			http://62.80.192.171:8008/listen.pls
* Radio Kiruna				http://193.45.227.222
* Radio Krokom				http://www.radiokrokom.se/Webradio/webbradio_mediaspelare.m3u
* Radio Lidingö				http://radiolidingo.mine.nu:8000/listen.pls
* Radio Ljusdal				http://80.65.199.78:8002/listen.pls
* Radio Nacka				http://user.tninet.se/~hyt673y/stream/radionacka/listen.m3u
* Radio Plus (Mölndals Närradio)	http://radioplus.sytes.net:8000/listen.pls
* Radio Roslagen			mms://media.rbcom.se:1023/radioroslagen?MSWMExt=.asf
* Radio Siljan (Siljan-kommunerna)	mms://62.101.38.171/radio
* Radio Sotenäs				mms://streamer2.xmc.se/radiosotenas?MSWMExt=.asf
* Radio Trelleborg			mms://stream.radiotrelleborg.se/tbgnr?MSWMExt=.asf
* Radio Tyresö				http://tb78-108-50-55.cust.teknikbyran.com:8000/listen.pls
* Radio Viking (Ekerö)			mms://radioviking.se/radio
* Radio Österåker			http://studio.osteraker.se:8000/live.mp3
* Skånepartiet (Malmö)			mms://stream.netro.ca/scanianparty?MSWMExt=
* Skärgårdsradion (Värmdö, sthlm)	http://homer.audire.se:8000/
* Stockholms Närradio 88,0		http://radiostreamone.mine.nu:18000/
* Stockholms Närradio 95,3		http://radiostreamone.mine.nu:18010/
* Stockholms Närradio 101,1		http://radiostreamone.mine.nu:18020/
